Plot,Treatment,TreeID,herbivory_percentage_median,herbivory_percentage_mean
BAI,CON,1,1.7204217573673093,4.5950946525799425
BAI,CON,10,2.3000857964749963,7.319008385365922
BAI,CON,2,1.2155664111066202,4.708735756801
BAI,CON,3,0.075253296918943,2.372866235729482
BAI,CON,4,1.6818760269967525,5.187561714196719
BAI,CON,5,0.04830396664052804,3.2796797965482627
BAI,CON,6,1.1786018000162661,5.803831979065688
BAI,CON,7,0.04899845262070558,3.2368266741303175
BAI,CON,8,7.7492241207984485,11.148561627478342
BAI,CON,9,2.3605980233917423,6.481104924814353
BAI,EXP,1,2.235711789317901,7.222680815821034
BAI,EXP,10,3.022588759730696,6.440717439326643
BAI,EXP,2,3.0734820296873195,8.983283590163245
BAI,EXP,3,0.9226837119892924,4.709849361668252
BAI,EXP,4,4.424740795961093,8.187952483500839
BAI,EXP,5,0.039673061671907844,2.649293496168655
BAI,EXP,6,1.218379823423337,6.5151249342253506
BAI,EXP,7,0.053989580013453935,3.0625924732302727
BAI,EXP,8,14.732650410661616,17.77484583772774
BAI,EXP,9,1.101269434159181,4.68052167310664
WA1,CON,1,2.2259706401530996,7.1853501244064475
WA1,CON,10,2.6980163684283487,7.171571469823877
WA1,CON,2,2.667222046715061,8.63734730739423
WA1,CON,3,0.07131692839108024,3.670540940107445
WA1,CON,4,4.034084806104175,8.121163938070449
WA1,CON,5,0.3612233684428017,5.321420221923052
WA1,CON,6,0.44495436795416565,4.7973774227345745
WA1,CON,7,0.901761704697985,6.299824696103475
WA1,CON,8,0.6759107657443177,4.7597989389603805
WA1,CON,9,0.1782149985742699,5.687038421758847
WA1,EXP,1,5.660726662823999,7.38152861321426
WA1,EXP,10,5.701586651499483,6.829265042658598
WA1,EXP,2,5.62276246627178,6.997861026277155
WA1,EXP,3,5.6997364014241825,8.70831991740926
WA1,EXP,4,5.358539890364062,6.153571386948936
WA1,EXP,5,6.6236407777916035,7.537359387178218
WA1,EXP,6,5.6715251859117,6.681090354102155
WA1,EXP,7,5.6962527523569175,7.413045075289271
WA1,EXP,8,5.669390097987862,6.8604777637596195
WA1,EXP,9,5.642327015694029,6.660501997706307
WA3,CON,1,1.8261673601479438,5.439885345735429
WA3,CON,10,9.343658033410385,12.221909816855721
WA3,CON,2,5.135276662593821,8.833267616758427
WA3,CON,3,9.107042490739154,12.391108172154972
WA3,CON,4,9.043865303215703,12.188898116885595
WA3,CON,5,12.92968253295469,15.03511334991309
WA3,CON,6,0.715737831616786,2.946065945035268
WA3,CON,7,4.032549166274767,9.768557185388644
WA3,CON,8,0.21217407704275615,2.1308756405818383
WA3,CON,9,2.226243648545217,6.645041694503499
WA3,EXP,1,2.6474082875389993,6.885145630350894
WA3,EXP,10,13.570939053280515,16.40450204263296
WA3,EXP,2,1.9451332920024755,6.696343050914079
WA3,EXP,3,11.13522537562604,14.718570825207902
WA3,EXP,4,14.565210361219796,16.760787835577084
WA3,EXP,5,15.419896350788871,18.07129761247868
WA3,EXP,6,0.5617486168149257,4.30076171067313
WA3,EXP,7,7.976493271480406,12.182525236294078
WA3,EXP,8,0.3495691184562015,3.2712331831765966
WA3,EXP,9,4.384535427124797,7.989655774645973
YAW,CON,1,1.714273362594525,4.590462814256455
YAW,CON,10,2.3609887534905827,7.194215204567123
YAW,CON,2,1.207243446640524,4.562193394094013
YAW,CON,3,0.07622561414736709,2.4223841571154234
YAW,CON,4,1.6798492214300254,4.99132575134311
YAW,CON,5,0.04335904235727468,2.3271690314489946
YAW,CON,6,1.0750554654488391,5.824676644183077
YAW,CON,7,0.046976308180286745,3.060824934257519
YAW,CON,8,7.112813702334305,9.961968853412964
YAW,CON,9,2.3681271898051985,6.460407180422907
YAW,EXP,1,3.080713917097323,7.586683029318709
YAW,EXP,10,3.102889857740587,7.075136499320065
YAW,EXP,2,3.0751822178072623,8.915927042303979
YAW,EXP,3,0.9577169276169969,5.25422015478887
YAW,EXP,4,5.606451453503663,8.592763876757088
YAW,EXP,5,0.060696309707243705,3.4480082793669315
YAW,EXP,6,2.1060956607536316,6.635572678451451
YAW,EXP,7,0.8905637347055464,3.852541240843303
YAW,EXP,8,14.732420610661617,17.824544619122488
YAW,EXP,9,1.457237988326916,5.3273741451289025
