Hab,Spec,response,SE,df,lower.CL,upper.CL
Fragment,BER,0.298661830993225,0.05816557355173882,62,0.19642800157370657,0.42590326512695775
Primary,BER,0.2369605862474088,0.04271670434063101,62,0.16223714273588857,0.33244313418496296
Primary-High elev.,BER,0.2340163638393481,0.04182679900791417,62,0.16081055655358156,0.32754052688576785
Secondary,BER,0.3115185994176713,0.05869671042099618,62,0.20749347205687602,0.43881870755135943
Fragment,HAH,0.42281503855388886,0.051832225430277275,62,0.32392547054672327,0.52830320139948
Primary,HAH,0.20152911461074224,0.04034855352033061,62,0.13261929799828642,0.2941041166714441
Primary-High elev.,HAH,0.23038912979902185,0.051697550311908834,62,0.14320183830169078,0.34903509179814535
Secondary,HAH,0.28861828591401306,0.04644232407703531,62,0.20517379231074023,0.3893745078401539
Fragment,LIT,0.2925912283615161,0.05675221595864219,62,0.1929538991142031,0.41708901256346387
Primary,LIT,0.27638347911457695,0.08083272090551875,62,0.14549242225308276,0.4614409219191631
Primary-High elev.,LIT,0.28693677171784265,0.05615036826065633,62,0.18863646335971884,0.4105428062143483
Secondary,LIT,0.29130609113658484,0.05699037665196741,62,0.1914103158016129,0.41648345997011615
Fragment,SYZ,0.3839956597981454,0.049605488170297175,62,0.2907328274958933,0.48664868465002925
Primary,SYZ,0.010837291137027614,0.004638273616982716,62,0.0045922475440771425,0.02535867515850999
Primary-High elev.,SYZ,0.2984977473603989,0.046685386917494194,62,0.2141421511568807,0.39920287257720416
Secondary,SYZ,0.2711769531275917,0.04487430328260725,62,0.19115429004138296,0.3694000381482098
