contrast,odds.ratio,SE,df,t.ratio,p.value
SYZ CON / SYZ EXP,0.05145834652522059,0.021009329864585768,59,-7.267058014236308,2.6339109227002666e-8
HAH CON / SYZ CON,8.528523994478444,3.6335836417583054,59,5.030894903862406,1.2636163039281278e-4
SYZ CON / BER EXP,0.12584749725895933,0.05649560728267513,59,-4.61703418138821,5.420290426717544e-4
BER CON / SYZ CON,6.9252881833653275,2.9665121680741477,59,4.517654442410891,7.618939795254187e-4
SYZ CON / HAH EXP,0.14337584621696178,0.0636923718148599,59,-4.372216993020527,0.001244907659179284
SYZ CON / LIT EXP,0.13371728855262327,0.06638481134545922,59,-4.052777369252389,0.0035385484116925436
LIT CON / SYZ EXP,0.18023915926192205,0.0875418995110995,59,-3.52784792922177,0.017447184427884288
BER CON / SYZ EXP,0.3563638791266284,0.1396874854282891,59,-2.632285177672533,0.16521316055142932
LIT CON / SYZ CON,3.502622439949248,1.7814608321823318,59,2.464594802328945,0.23099395994217065
HAH EXP / SYZ EXP,0.3589052680976114,0.14930273344067538,59,-2.463244122448276,0.23158865234622916
BER EXP / SYZ EXP,0.4088944766166748,0.17417695114598306,59,-2.0994372418803238,0.42731338698713417
HAH CON / SYZ EXP,0.4388637430565303,0.17315298462698403,59,-2.087364462006495,0.43484698843240654
LIT EXP / SYZ EXP,0.38482941945812493,0.1826127490498449,59,-2.012426964720348,0.4826054832996739
HAH CON / LIT CON,2.434896749705635,1.2347994252198555,59,1.754799340310641,0.6520713011666696
LIT CON / BER EXP,0.44079626791068244,0.23329711609530276,59,-1.5477609901219045,0.7783664238805987
BER CON / LIT CON,1.9771723336146025,1.0025673402296023,59,1.3443232011889281,0.8778074741444524
LIT CON / HAH EXP,0.502191456306243,0.2627728092812919,59,-1.3163323145952117,0.88901604152286
LIT CON / LIT EXP,0.46836117549358697,0.2817489645734774,59,-1.2609069553738368,0.909327394495736
BER CON / HAH CON,0.8120148560112995,0.3422059174109671,59,-0.49412134451687767,0.9996490525772354
HAH CON / HAH EXP,1.2227843446900102,0.5721733086322935,59,0.4298334662801114,0.999861291585179
BER CON / BER EXP,0.8715301856735715,0.40640912833506476,59,-0.29487419570200096,0.9999892690811072
BER EXP / HAH EXP,1.139282459641879,0.5321343055791472,59,0.27917930685219045,0.9999926289829224
HAH CON / LIT EXP,1.1404111038976454,0.5654959090564363,59,0.2649661314739611,0.9999948548643669
HAH CON / BER EXP,1.073293400018095,0.48202777118227613,59,0.1574930920497685,0.9999998600728472
BER CON / LIT EXP,0.9260307583251337,0.45934282336165855,59,-0.15492449066795985,0.9999998752054712
HAH EXP / LIT EXP,0.9326346946212765,0.4777587289362253,59,-0.13614303383188034,0.9999999492711125
BER EXP / LIT EXP,1.0625343488354806,0.5505882565701945,59,0.11705678733015372,0.9999999823081804
BER CON / HAH EXP,0.99291905358633,0.4380361039957347,59,-0.01610784377128073,1
